PROGRAMS,
gst-plugins-bad 1.18.3-2,
gst-plugins-bad-libs 1.18.3-2,
gst-plugins-base 1.18.3-1,
gst-plugins-base-libs 1.18.3-1,
gst-plugins-good 1.18.3-1,
gst-plugins-ugly 1.18.3-1,
gstreamer 1.18.3-1,
gtk-update-icon-cache 1:4.0.3-1,
gtk2 2.24.33-1,
gtk3 1:3.24.26-1,
gtkmm 1:2.24.5-4,
gtkmm3 3.24.4-1,
guile 2.2.6-2,
gupnp 1.2.4-1,
gupnp-igd 1.2.0-1,
gutenprint 5.3.4-1,
gvfs 1.46.2-1,
gvfs-smb 1.46.2-1,
gzip 1.10-3,
harfbuzz 2.7.4-1,
harfbuzz-icu 2.7.4-1,
haveged 1.9.14-1,
hdparm 9.60-1,
hicolor-icon-theme 0.17-2,
hidapi 0.10.1-1,
hplip 1:3.21.2-1,
htop 3.0.5-1,
hw-probe 1.5-1,
hwids 20201207-1,
hwinfo 21.72-1,
hwloc 2.4.0-1,
hyphen 2.8.8-3,
i3-gaps 4.19.1-1,
i3blocks 1.5-3,
i3lock-color 2.13.c.2-1,
i3status 2.13-3,
iana-etc 20210202-1,
icu 68.2-1,
ijs 0.35-3,
imagemagick 7.0.11.2-1,
imlib2 1.7.1-1,
iproute2 5.11.0-1,
iptables 1:1.8.7-1,
iputils 20200821-1,
ipw2100-fw 1.3-10,
ipw2200-fw 3.1-8,
irssi 1.2.2-4,
iso-codes 4.5.0-1,
iw 5.9-1,
jack 0.125.0-9,
jansson 2.13.1-1,
jbig2dec 0.19-1,
jfsutils 1.1.15-7,
js78 78.8.0-1,
json-c 0.15-1,
json-glib 1.6.2-1,
jsoncpp 1.9.4-1,
kbd 2.4.0-2,
keyutils 1.6.3-1,
kitty 0.19.3-2,
kitty-terminfo 0.19.3-2,
kmod 28-1,
krb5 1.18.3-1,
l-smash 2.14.5-2,
lame 3.100-3,
laptop-detect 0.16-1,
lbzip2 2.5-5,
lcms2 2.12-1,
ldb 1:2.2.0-3,
ldns 1.7.1-2,
less 563-1,
libaio 0.3.112-2,
libappindicator-gtk3 12.10.0.r296-1,
libarchive 3.5.1-1,
libass 0.15.0-2,
libassuan 2.5.4-2,
libasyncns 0.8+3+g68cd5af-3,
libatasmart 0.19-5,
libavc1394 0.5.4-4,
libavtp 0.1.0-2,
libblockdev 2.25-2,
libbluray 1.2.1-1,
libbs2b 3.1.0-7,
libbsd 0.10.0-2,
libbytesize 2.5-1,
libcaca 0.99.beta19-3,
libcanberra 0.30+2+gc0620e4-3,
libcanberra-pulse 0.30+2+gc0620e4-3,
libcap 2.48-1,
libcap-ng 0.8.2-1,
libcddb 1.3.2-6,
libcdio 2.1.0-2,
libcdio-paranoia 10.2+2.0.1-2,
libcloudproviders 0.3.1-2,
libconfig 1.7.2-3,
libcroco 0.6.13-2,
libcups 1:2.3.3op2-1,
libdaemon 0.14-5,
libdatrie 0.2.13-1,
libdbusmenu-glib 16.04.0-4,
libdbusmenu-gtk3 16.04.0-4,
libdc1394 2.2.6-2,
libdca 0.0.7-1,
libde265 1.0.8-1,
libdrm 2.4.104-1,
libdv 1.0.0-9,
libdvdnav 6.1.0-2,
libdvdread 6.1.1-1,
libedit 20191231_3.1-3,
libelf 0.183-3,
libepoxy 1.5.5-1,
libev 4.33-1,
libevdev 1.11.0-1,
libevent 2.1.12-1,
libexif 0.6.22-1,
libfdk-aac 2.0.1-2,
libffi 3.3-4,
libfm 1.3.2-1,
libfm-extra 1.3.2-1,
libfm-gtk2 1.3.2-1,
libfontenc 1.1.4-3,
libgcrypt 1.9.2-1,
libgdm 3.38.2.1-1,
libgksu 2.0.12-8,
libglvnd 1.3.2-1,
libgme 0.6.3-1,
libgnome-keyring 3.12.0+13+g4f8ab73-3,
libgnomekbd 3.26.1+2+g8d02ebd-2,
libgpg-error 1.41-1,
libgtop 2.40.0+2+g31db82ef-2,
libgudev 234-1,
libgusb 0.3.5-1,
libgweather 3.36.1-1,
libgxps 0.3.2-1,
libibus 1.5.24-1,
libical 3.0.9-1,
libice 1.0.10-3,
libid3tag 0.15.1b-11,
libidn 1.36-1,
libidn2 2.3.0-1,
libiec61883 1.2.0-6,
libimobiledevice 1.3.0-3,
libindicator-gtk3 12.10.1-9,
libinih 52-2,
libinput 1.17.0-1,
libinstpatch 1.1.6-1,
libjpeg-turbo 2.0.6-1,
libkate 0.4.1-7,
libksba 1.4.0-2,
libldac 2.0.2.3-1,
libldap 2.4.57-1,
liblouis 3.16.0-1,
liblqr 0.4.2-3,
liblrdf 0.6.1-4,
libluv 1.36.0-1,
libmaxminddb 1.5.2-1,
libmbim 1.24.6-1,
libmfx 20.5.1-1,
libmicrodns 0.2.0-1,
libmicrohttpd 0.9.72-1,
libmm-glib 1.16.2-1,
libmms 0.6.4-3,
libmnl 1.0.4-3,
libmodplug 0.8.9.0-3,
libmpc 1.2.1-1,
libmpcdec 1:0.1+r475-3,
libmpdclient 2.19-3,
libmpeg2 0.5.1-7,
libndp 1.7-2,
libnetfilter_conntrack 1.0.8-1,
libnewt 0.52.21-5,
libnfnetlink 1.0.1-4,
libnftnl 1.1.9-1,
libnghttp2 1.41.0-1,
libnice 0.1.18-1,
libnl 3.5.0-2,
libnm 1.30.0-2,
libnma 1.8.30-1,
libnotify 0.7.9-1,
libnsl 1.3.0-1,
libofa 0.9.3-9,
libogg 1.3.4-2,
libomxil-bellagio 0.9.3-3,
libopenaptx 0.2.0-1,
libotr 4.1.1-3,
libp11-kit 0.23.22-1,
libpaper 1.1.28-1,
libpcap 1.10.0-1,
libpciaccess 0.16-2,
libpgm 5.3.128-1,
libpipeline 1.5.3-1,
libplacebo 3.104.0-2,
libplist 2.2.0-3,
libpng 1.6.37-3,
libproxy 0.4.17-1,
libpsl 0.21.1-1,
libpulse 14.2-2,
libpwquality 1.4.4-3,
libqmi 1.28.2-1,
libqrtr-glib 1.0.0-1,
libraqm 0.7.1-1,
libraw1394 2.1.2-3,
librsvg 2:2.50.3-1,
libsamplerate 0.2.1-1,
libsasl 2.1.27-3,
libseccomp 2.5.1-2,
libsecret 0.20.4-1,
libshout 1:2.4.5-1,
libsidplay 1.36.59-10,
libsigc++ 2.10.6-1,
libsm 1.2.3-2,
libsndfile 1.0.31-1,
libsodium 1.0.18-2,
libsoup 2.72.0+5+g0b094bff-3,
libsoxr 0.1.3-2,
libspectre 0.2.9-2,
libsrtp 1:2.3.0-1,
libssh 0.9.5-1,
libssh2 1.9.0-2,
libstemmer 0+713-2,
libsynctex 2020.54586-11,
libtasn1 4.16.0-1,
libteam 1.31-2,
libtermkey 0.22-2,
libthai 0.1.28-2,
libtheora 1.1.1-5,
libtiff 4.2.0-1,
libtirpc 1.3.1-1,
libtool 2.4.6+42+gb88cebd5-14,
libunistring 0.9.10-3,
libunwind 1.5.0-1,
libusb 1.0.24-2,
libusbmuxd 2.0.2-1,
libuv 1.41.0-1,
libva 2.10.0-1,
libvdpau 1.4-1,
libvisual 0.4.0-8,
libvorbis 1.3.7-2,
libvpx 1.9.0-1,
libvterm 0.1.3.git1.65dbda-1,
