Programs,
i3-gaps,
polybar,
brave-bin,
Dunst,
teams,
vs-code,
xfce-power-manager,
nvim,
kitty,
neofetch,
picom,
nitrogen,
nautilius,
evince,
gdm,
rofi,
i3blocks,
cheese,
Network-Manager,
nm-applet,
Pulseaudio,
Free-office,
Discord,
mpv,
qbittorent,
xautolock,
xidlehook,
scrot,
ImageMagick,
Bluez,
avahi,
ffmpeg,
